change_type,mall_code,name,old_category,new_category,old_level,new_level,reason
category,MALL_E5BD576C,御隆轩国际商场,department_store,shopping_mall,,,typecode_0601
category,MALL_984D8C2D,万达广场(建设中),department_store,shopping_mall,,,keyword_shopping
category,MALL_FA828F25,兴隆广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_E19C27AC,君华商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_483F8E61,城投和平生活广场,community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_9F2CAA68,新九龙购物中心,department_store,shopping_mall,,,keyword_shopping
category,MALL_32946A80,桂海商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_F5972B45,湾商场,department_store,shopping_mall,,,typecode_0601
category,MALL_C0C1086A,龙光商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_67A47CCD,龙行商厦,department_store,shopping_mall,,,typecode_0601
category,MALL_BC64C0B7,卓越商场,department_store,shopping_mall,,,typecode_0601
category,MALL_5A1724E8,嘉乐广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_4F5FC7AE,流行前线商场,department_store,shopping_mall,,,typecode_0601
category,MALL_89F92125,神龙商场,department_store,shopping_mall,,,typecode_0601
category,MALL_653E0535,防城民族商场,department_store,shopping_mall,,,keyword_shopping
category,MALL_A7A72251,二道桥大巴扎,department_store,shopping_mall,,,typecode_0601
category,MALL_5A599459,亚太商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_17335B2E,俊发商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_F3150161,南门商厦(解放南路),department_store,shopping_mall,,,typecode_0601
category,MALL_6A2ACF2A,成功广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_0A21BA55,新疆珠拉商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_D5C1D541,汗扎德商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_31DB4A4F,福乐商厦,department_store,shopping_mall,,,typecode_0601
category,MALL_321F786C,红山荟,department_store,shopping_mall,,,typecode_0601
category,MALL_0A335479,艾美达生活广场,community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_DFD3F6CF,辰野名品广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_30BDC10D,金币山国际广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_8CA2864A,金泉商城(解放南路),department_store,shopping_mall,,,keyword_shopping
category,MALL_9259676A,佳域商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_8002025E,昊合商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_993A5A4D,KL星品汇购物中心,department_store,shopping_mall,,,keyword_shopping
category,MALL_B4ED86F9,万科生活广场,community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_330A7EC5,世纪金马购物中心,department_store,shopping_mall,,,keyword_shopping
category,MALL_823B57A2,二宫商场,department_store,shopping_mall,,,typecode_0601
category,MALL_3C6DCF71,五一商场,department_store,shopping_mall,,,typecode_0601
category,MALL_115A84AB,六合鑫商场,department_store,shopping_mall,,,typecode_0601
category,MALL_3A3DEDD2,地下街商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_E1948C05,天河生活广场,community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_7E122D0E,太百 YoungPark,department_store,shopping_mall,,,typecode_0601
category,MALL_95EC7BCE,新世界广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_3639177E,汇金商贸城(南纬二路),department_store,shopping_mall,,,keyword_shopping
category,MALL_2A7385D9,缤购,department_store,shopping_mall,,,typecode_0601
category,MALL_5C75DF80,罗马广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_B909C5FC,金实业精品广场(河南西路),department_store,shopping_mall,,,keyword_shopping
category,MALL_59D8980F,乌鲁木齐市·7英里商业中心,shopping_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_E2B3CDAD,乐福城市生活广场,community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_AD0DB6B2,华凌商场,department_store,shopping_mall,,,typecode_0601
category,MALL_F73B12FC,华凌贸易城,department_store,shopping_mall,,,keyword_shopping
category,MALL_D1A11DF5,惠源商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_8A3E75E9,YoYo环球港,department_store,shopping_mall,,,typecode_0601
category,MALL_765C601A,七一阳光100广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_DDD29446,世纪百盛广场(沙区炉院街),department_store,shopping_mall,,,keyword_shopping
category,MALL_F4C663ED,乌鲁木齐乐至生活广场,community_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_16820EE9,叁源艺体商业广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_E878B858,地王国际商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_7402620A,天元世纪城,department_store,shopping_mall,,,keyword_shopping
category,MALL_0086FF85,新疆国际商贸城(外环路),department_store,shopping_mall,,,keyword_shopping
category,MALL_F427E3F3,海成文体广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_6EF79FE7,百思百国际广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_BD41F398,高铁中心商贸城,shopping_mall,transport_hub,,,keyword_transport
category,MALL_C1AE6AEF,千百合购物中心旗舰店,department_store,shopping_mall,,,keyword_shopping
category,MALL_1C87766E,欧工国际共享商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_1B2D113F,米古里西域水游城2期,shopping_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_9DB925A1,裕源商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_DBD307D9,金泉商场,department_store,shopping_mall,,,typecode_0601
