old_id,old_mall_code,old_name,master_id,master_mall_code,master_name,merge_reason
26393,MALL_F4756F81,万达广场,26392,MALL_193CCDDC,万达广场,same_name_norm_same_district
26394,MALL_1F26F748,万达广场,26392,MALL_193CCDDC,万达广场,same_name_norm_same_district
26996,MALL_D24E0A0B,万达百货,26995,MALL_4097AC9D,万达广场,same_name_norm_same_district
26453,MALL_D00939B3,万达百货,26452,MALL_9AA6B582,万达广场,same_name_norm_same_district
16030,MALL_0B854F06,万达广场,16029,MALL_CE25404E,万达广场,same_name_norm_same_district
16705,MALL_0DA7A863,万达广场,16704,MALL_A73BAD6E,万达广场,same_name_norm_same_district
9046,MALL_AB363D64,万达广场,9045,MALL_5E70E761,万达广场,same_name_norm_same_district
7695,MALL_A18C4452,万达广场,7694,MALL_BB35D834,万达广场,same_name_norm_same_district
20572,MALL_8F56BF91,万达广场,20571,MALL_1CB85CEC,万达广场,same_name_norm_same_district
23726,MALL_D3731F0D,万达广场,23725,MALL_00434C8B,万达广场,same_name_norm_same_district
25231,MALL_BFB159C3,万达广场,25230,MALL_85056B98,万达广场,same_name_norm_same_district
3893,MALL_A44CA3A3,万达广场,3892,MALL_7343B645,万达广场,same_name_norm_same_district
4200,MALL_93F6C8CA,万达广场,4199,MALL_C863D8C9,万达广场,same_name_norm_same_district
3490,MALL_F043A1EF,万达广场,3489,MALL_6A504A74,万达广场,same_name_norm_same_district
842,MALL_953840C0,万达百货,841,MALL_CB928C75,万达广场,same_name_norm_same_district
5113,MALL_DCC0BD77,万达百货,5112,MALL_2322EB65,万达广场,same_name_norm_same_district
14225,MALL_419F9E67,万都广场,14224,MALL_3748D466,万都商业广场,same_name_norm_same_district
24375,MALL_41A31605,三联购物中心,24374,MALL_96C16824,三联购物中心,same_name_norm_same_district
28112,MALL_CAB5134B,世达购物广场,28111,MALL_19F2672E,世达购物广场,same_name_norm_same_district
6719,MALL_80383164,东方购物广场,6718,MALL_F6F1C66B,东方购物广场,same_name_norm_same_district
22383,MALL_8B8C3308,东方商厦,22382,MALL_B709F7B6,东方商厦,same_name_norm_same_district
22384,MALL_262D8959,东方商厦,22382,MALL_B709F7B6,东方商厦,same_name_norm_same_district
22386,MALL_09D8A3AD,东方商厦,22382,MALL_B709F7B6,东方商厦,same_name_norm_same_district
22387,MALL_57BB5A82,东方商厦,22382,MALL_B709F7B6,东方商厦,same_name_norm_same_district
22388,MALL_E7119381,东方商厦,22382,MALL_B709F7B6,东方商厦,same_name_norm_same_district
22418,MALL_38B8AADE,东方商厦,22417,MALL_85D6A3D5,东方商厦,same_name_norm_same_district
22425,MALL_32D63A25,东方商厦,22424,MALL_F424C1D2,东方商厦,same_name_norm_same_district
22426,MALL_4143A369,东方商厦,22424,MALL_F424C1D2,东方商厦,same_name_norm_same_district
22408,MALL_D1B9C310,东方时代购物中心,22407,MALL_4C88AC7A,东方时代购物中心,same_name_norm_same_district
