mall_code,name,existing_poi,candidate_poi,chosen_poi,existing_dist_m,candidate_dist_m,reason
MALL_8F7F93E1,元盛购物广场(装修中),B0FFGPMD4J,B0FFGPMD4J,B0FFGPMD4J,0.0,0.0,switched_better_distance
MALL_504282F8,商业城,B0FFHLY3PQ,B0FFHLY3PQ,B0FFHLY3PQ,0.0,0.0,switched_better_distance
MALL_C8F3668F,东兴商贸城小木匠全屋整装,B0LAK7LNFJ,B0LAK7LNFJ,B0LAK7LNFJ,0.0,0.0,switched_better_distance
MALL_C706163B,购物中心,B0FFMHT4WH,B0FFMHT4WH,B0FFMHT4WH,0.0,0.0,switched_better_distance
MALL_B661B932,吾悦广场(建设中),B0H6DZ65RH,B0H6DZ65RH,B0H6DZ65RH,0.0,0.0,switched_better_distance
MALL_603BB87A,商业城,B0HU6410AG,B0HU6410AG,B0HU6410AG,0.0,0.0,switched_better_distance
MALL_7FC537FC,购物广场,B0HGJMINQA,B0HGJMINQA,B0HGJMINQA,0.0,0.0,switched_better_distance
MALL_5313BF29,购物中心,B0IDLUAIC1,B0IDLUAIC1,B0IDLUAIC1,0.0,0.0,switched_better_distance
MALL_E98F9EAE,万象城(暂停营业),B0FFLH2JN3,B0FFLH2JN3,B0FFLH2JN3,0.0,0.0,switched_better_distance
MALL_400F8A96,购物中心,B0IDXR24X3,B0IDXR24X3,B0IDXR24X3,0.0,0.0,switched_better_distance
MALL_08BFF51D,商业城,B0FFF2ETKJ,B0FFF2ETKJ,B0FFF2ETKJ,0.0,0.0,switched_better_distance
